timestamp_utc,experiment,arm,status,purpose,architecture,input_size,preprocessing,augmentation,laterality,sampler,loss,training_stages,optimizer,learning_rates,weight_decay,batch_size,selection_rule,evaluation_split,selected_epoch,accuracy,qwk,macro_precision,macro_recall,macro_f1,grade1_recall,macro_ap,macro_auc,heatmap_method,artifact_dir,decision_notes
2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),not applicable,completed,"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6691 (95% CI: 0.6455 - 0.6914) and a Quadratic Weighted Kappa (QWK) score of 0.8058 (95% CI: 0.7824 - 0.8294).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,Horizontal flip p=0.50; rotation +/-8 degrees; Random Erasing disabled; no minority augmentation,not reported,False,ce,30 (Actual: 30),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6691,0.8058,0.67,0.67,0.67,0.22,0.7009,0.8798,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-15_13-42-33_ce_baseline,not reported
2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,not applicable,completed,"This run successfully trained a densenet121 model in standard 1-stage mode for 19 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6594 (95% CI: 0.6371 - 0.6836) and a Quadratic Weighted Kappa (QWK) score of 0.8283 (95% CI: 0.8094 - 0.8454).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,ce,30 (Actual: 19),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6594,0.8283,0.69,0.68,0.68,0.49,0.7287,0.8993,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-15_17-30-22_ce_regularized,not reported
2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),not applicable,completed,"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6087 (95% CI: 0.5876 - 0.6347) and a Quadratic Weighted Kappa (QWK) score of 0.7388 (95% CI: 0.7120 - 0.7618).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 30),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6087,0.7388,0.63,0.57,0.58,0.12,0.6775,0.8699,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-16_20-45-12_focal_corn_underfit,not reported
2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),not applicable,completed,"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6612 (95% CI: 0.6413 - 0.6866) and a Quadratic Weighted Kappa (QWK) score of 0.8271 (95% CI: 0.8072 - 0.8434).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 45),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6612,0.8271,0.68,0.67,0.67,0.41,0.7280,0.8984,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-17_10-33-24_focal_corn_optimized_lr,not reported
2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),not applicable,completed,"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6733 (95% CI: 0.6510 - 0.6963) and a Quadratic Weighted Kappa (QWK) score of 0.8394 (95% CI: 0.8203 - 0.8562).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 30),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6733,0.8394,0.71,0.69,0.69,0.44,0.7439,0.9073,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-17_16-06-42_focal_corn_optimized_lr_patience,not reported
2026-07-17 22:15:13,DENSENET121 - 3-Stage Focal CORN (Last Block Unfrozen + Stage 3 Sampler Disabled) [LOGIC ERROR: Backbone Remained Frozen],not applicable,invalid implementation; historical result only,"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6498 (95% CI: 0.6286 - 0.6727) and a Quadratic Weighted Kappa (QWK) score of 0.7564 (95% CI: 0.7332 - 0.7767).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 45),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6498,0.7564,0.58,0.62,0.59,0.00,0.7059,0.8814,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-17_22-15-13_focal_corn_gradual_unfreeze,Do not use for model selection or production.
2026-07-18 20:27:46,DENSENET121 - 3-Stage Focal CORN (Last Two Blocks Unfrozen + Stage 3 Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],not applicable,invalid implementation; historical result only,"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6534 (95% CI: 0.6322 - 0.6733) and a Quadratic Weighted Kappa (QWK) score of 0.7624 (95% CI: 0.7365 - 0.7889).",standard classifier head; exact architecture label not reported,224x224,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 45),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6534,0.7624,0.62,0.64,0.60,0.00,0.7124,0.8825,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-18_20-27-46_focal_corn_moderated_sampler,Do not use for model selection or production.
2026-07-18 22:03:35,DENSENET121 - 3-Stage Focal CORN (384x384 Resolution + Blocks 3 & 4 Unfrozen + Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],not applicable,invalid implementation; historical result only,"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 384x384 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6564 (95% CI: 0.6353 - 0.6781) and a Quadratic Weighted Kappa (QWK) score of 0.7796 (95% CI: 0.7552 - 0.8053).",standard classifier head; exact architecture label not reported,384x384,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 384x384; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",not reported,True,focalcorn,30 (Actual: 45),not reported,lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6564,0.7796,0.57,0.64,0.59,0.00,0.7297,0.8976,Grad-CAM or CAM method not reported,docs/report/dense_net_121/runs/2026-07-18_22-03-35_focal_corn_384_resolution_frozen,Do not use for model selection or production.
2026-07-20 12:36:36,"DENSENET121 - 3-Stage CORN (400 Resize + 384 Crop, No TTA, Mild Erasing)",not applicable,completed,"This run trained DenseNet-121 through all three stages for 45 epochs using Conditional Ordinal (CORN) loss. Images were resized to 400x400 and cropped to 384x384; validation and test inference used a single center crop with no TTA. Training used the class-balancing WeightedRandomSampler, no minority-specific augmentation, and one mild Random Erasing operation (p=0.10, second operation disabled). The final test Accuracy was 0.6715 (95% CI: 0.6479 - 0.6914), and QWK was 0.8246 (corrected 95% CI: 0.8046 - 0.8435).",standard classifier head; exact architecture label not reported,"384x384 (resize to 400x400, then crop)",Square-pad complete ROI; LAB CLAHE; resize 400x400; crop 384x384; ToTensor; ImageNet normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; random crop 384x384; one Random Erasing p=0.10, scale 0.02-0.05, ratio 0.5-2.0; minority augmentation disabled",not reported,True,corn,45 (5 warm-up + 25 coarse + 15 fine-tune),not reported,lr_warmup=3e-4; lr_coarse_head=3e-4; lr_coarse_backbone=3e-5; lr_finetune=1e-5; lr_standard=3e-4,1e-4,16,not reported,historical Kaggle train/validation/test split; patient grouping not documented,not reported,0.6715,0.8246,0.68,0.68,0.68,0.31,0.7337,0.8963,Standard Grad-CAM over three normalized scales,docs/report/dense_net_121/runs/2026-07-20_12-36-36_corn,not reported
2026-07-20 17:09:20,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,not reported,completed; provenance incomplete,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,0.6685,0.8223,,,,,0.7345,0.8977,not reported,docs/report/dense_net_121/runs/2026-07-20_17-09-20_final_layer_gradcam,not reported
