model_family,run_timestamp,status,short_description,purpose,decision,loss_function,sampler,pipeline,training_augmentation_full,heatmap_method,test_accuracy,test_qwk,test_macro_f1,test_grade1_recall,test_average_precision,validation_qwk,validation_macro_f1,validation_grade1_recall,validation_average_precision,cam_joint_energy,cam_border_energy,cam_peak_inside_rate,validation_failures,checkpoint_path,checkpoint_sha256,source_file,notes
YOLOv8,2026-07-14 16:03:31.090356,archived,YOLOv8 archived detector,Previous knee ROI detector for comparison.,Retired; lower mAP50-95 than current checkpoint.,,,,,,,,,,,,,,,,,,,checkpoints/yolov8/archive/best.pt,3e18a09e58df0ae1f8e3102d5e63893c72d2508bba5ffd80c84dac8356161d2b,checkpoints/yolov8/archive/best.pt,
DenseNet-121,2026-07-15 13:42:33,completed,DENSENET121 - Baseline CE (No Regularization),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6691 (95% CI: 0.6455 - 0.6914) and a Quadratic Weighted Kappa (QWK) score of 0.8058 (95% CI: 0.7824 - 0.8294).",not reported,ce,False,standard,Horizontal flip p=0.50; rotation +/-8 degrees; Random Erasing disabled; no minority augmentation,Grad-CAM or CAM method not reported,0.6691,0.8058,0.67,0.22,0.7009,not reported,not reported,not reported,not reported,not reported,not reported,not reported,280 / 826 (33.90% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-15 17:30:22,completed,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,"This run successfully trained a densenet121 model in standard 1-stage mode for 19 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6594 (95% CI: 0.6371 - 0.6836) and a Quadratic Weighted Kappa (QWK) score of 0.8283 (95% CI: 0.8094 - 0.8454).",not reported,ce,True,standard,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6594,0.8283,0.68,0.49,0.7287,not reported,not reported,not reported,not reported,not reported,not reported,not reported,312 / 826 (37.77% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-16 20:45:12,completed,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6087 (95% CI: 0.5876 - 0.6347) and a Quadratic Weighted Kappa (QWK) score of 0.7388 (95% CI: 0.7120 - 0.7618).",not reported,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6087,0.7388,0.58,0.12,0.6775,not reported,not reported,not reported,not reported,not reported,not reported,not reported,326 / 826 (39.47% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-17 10:33:24,completed,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6612 (95% CI: 0.6413 - 0.6866) and a Quadratic Weighted Kappa (QWK) score of 0.8271 (95% CI: 0.8072 - 0.8434).",not reported,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6612,0.8271,0.67,0.41,0.7280,not reported,not reported,not reported,not reported,not reported,not reported,not reported,288 / 826 (34.87% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-17 16:06:42,completed,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6733 (95% CI: 0.6510 - 0.6963) and a Quadratic Weighted Kappa (QWK) score of 0.8394 (95% CI: 0.8203 - 0.8562).",not reported,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6733,0.8394,0.69,0.44,0.7439,not reported,not reported,not reported,not reported,not reported,not reported,not reported,290 / 826 (35.11% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-17 22:15:13,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (Last Block Unfrozen + Stage 3 Sampler Disabled) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6498 (95% CI: 0.6286 - 0.6727) and a Quadratic Weighted Kappa (QWK) score of 0.7564 (95% CI: 0.7332 - 0.7767).",Do not use for model selection or production.,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6498,0.7564,0.59,0.00,0.7059,not reported,not reported,not reported,not reported,not reported,not reported,not reported,299 / 826 (36.20% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-18 20:27:46,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (Last Two Blocks Unfrozen + Stage 3 Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6534 (95% CI: 0.6322 - 0.6733) and a Quadratic Weighted Kappa (QWK) score of 0.7624 (95% CI: 0.7365 - 0.7889).",Do not use for model selection or production.,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6534,0.7624,0.60,0.00,0.7124,not reported,not reported,not reported,not reported,not reported,not reported,not reported,297 / 826 (35.96% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-18 22:03:35,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (384x384 Resolution + Blocks 3 & 4 Unfrozen + Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 384x384 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6564 (95% CI: 0.6353 - 0.6781) and a Quadratic Weighted Kappa (QWK) score of 0.7796 (95% CI: 0.7552 - 0.8053).",Do not use for model selection or production.,focalcorn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Grad-CAM or CAM method not reported,0.6564,0.7796,0.59,0.00,0.7297,not reported,not reported,not reported,not reported,not reported,not reported,not reported,279 / 826 (33.78% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-20 12:36:36,completed,"DENSENET121 - 3-Stage CORN (400 Resize + 384 Crop, No TTA, Mild Erasing)","This run trained DenseNet-121 through all three stages for 45 epochs using Conditional Ordinal (CORN) loss. Images were resized to 400x400 and cropped to 384x384; validation and test inference used a single center crop with no TTA. Training used the class-balancing WeightedRandomSampler, no minority-specific augmentation, and one mild Random Erasing operation (p=0.10, second operation disabled). The final test Accuracy was 0.6715 (95% CI: 0.6479 - 0.6914), and QWK was 0.8246 (corrected 95% CI: 0.8046 - 0.8435).",not reported,corn,True,3-stage,"Horizontal flip p=0.50; rotation +/-8 degrees; random crop 384x384; one Random Erasing p=0.10, scale 0.02-0.05, ratio 0.5-2.0; minority augmentation disabled",Standard Grad-CAM over three normalized scales,0.6715,0.8246,0.68,0.31,0.7337,not reported,not reported,not reported,not reported,not reported,not reported,not reported,279 / 826 (33.78% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
