model_family,run_timestamp,timezone,record_type,status,short_description,purpose,decision,known_issue,source_report,notebook_archive,checkpoint_directory,architecture,initialization,input_size,roi_and_crop_policy,image_processing_full,training_augmentation_full,validation_test_processing,laterality_policy,sampler,pipeline,training_stages,epochs,selected_epoch,batch_size,workers_gpu,loss_function,compared_arms,optimizer,scheduler,learning_rates,weight_decay,amp,gradient_clipping,ema,seed,checkpoint_selection,heatmap_method,heatmap_resolution,dataset_split,test_n,test_accuracy,test_qwk,test_mae,test_macro_precision,test_macro_recall,test_macro_f1,test_grade1_precision,test_grade1_recall,test_average_precision,test_roc_auc,test_loss,test_composite,confidence_interval_notes,validation_accuracy,validation_qwk,validation_macro_f1,validation_grade1_recall,validation_average_precision,validation_roc_auc,validation_selection_score,best_validation_epoch,cam_cases,cam_joint_energy,cam_border_energy,cam_lower_tibia_energy,cam_peak_inside_rate,cam_occlusion_metric,cam_flip_correlation,cam_notes,validation_failures,boundary_confusions,critical_under_predictions,critical_over_predictions,experiment_results,notes,source_file,record_origin,checkpoint_path,checkpoint_sha256,checkpoint_epoch
DenseNet-121,2026-07-15 13:42:33,timezone not recorded,training run,completed,DENSENET121 - Baseline CE (No Regularization),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6691 (95% CI: 0.6455 - 0.6914) and a Quadratic Weighted Kappa (QWK) score of 0.8058 (95% CI: 0.7824 - 0.8294).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-15_13-42-33_densenet121_ce_baseline.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,Horizontal flip p=0.50; rotation +/-8 degrees; Random Erasing disabled; no minority augmentation,Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,False,standard,30 (Actual: 30),30 (Actual: 30),not reported,16,not reported,ce,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6691,0.8058,not reported,0.67,0.67,0.67,0.34,0.22,0.7009,0.8798,not reported,not reported,0.6691 (95% CI: 0.6455 - 0.6914); 0.8058 (95% CI: 0.7824 - 0.8294); 0.8798 (95% CI: 0.8694 - 0.8908); 0.7009 (95% CI: 0.6788 - 0.7282),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,280 / 826 (33.90% error),220 (78.6%),4,6,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-15 17:30:22,timezone not recorded,training run,completed,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,"This run successfully trained a densenet121 model in standard 1-stage mode for 19 epochs on 224x224 images using Cross-Entropy (CE) loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6594 (95% CI: 0.6371 - 0.6836) and a Quadratic Weighted Kappa (QWK) score of 0.8283 (95% CI: 0.8094 - 0.8454).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-15_17-30-22_densenet121_ce_regularized.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,standard,30 (Actual: 19),30 (Actual: 19),not reported,16,not reported,ce,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6594,0.8283,not reported,0.69,0.68,0.68,0.36,0.49,0.7287,0.8993,not reported,not reported,0.6594 (95% CI: 0.6371 - 0.6836); 0.8283 (95% CI: 0.8094 - 0.8454); 0.8993 (95% CI: 0.8904 - 0.9088); 0.7287 (95% CI: 0.7065 - 0.7571),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,312 / 826 (37.77% error),273 (87.5%),4,1,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-16 20:45:12,timezone not recorded,training run,completed,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6087 (95% CI: 0.5876 - 0.6347) and a Quadratic Weighted Kappa (QWK) score of 0.7388 (95% CI: 0.7120 - 0.7618).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-16_20-45-12_densenet121_focal_corn_underfit.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 30),30 (Actual: 30),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=1e-5; lr_finetune=1e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6087,0.7388,not reported,0.63,0.57,0.58,0.25,0.12,0.6775,0.8699,not reported,not reported,0.6087 (95% CI: 0.5876 - 0.6347); 0.7388 (95% CI: 0.7120 - 0.7618); 0.8699 (95% CI: 0.8605 - 0.8804); 0.6775 (95% CI: 0.6566 - 0.7011),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,326 / 826 (39.47% error),236 (72.4%),8,3,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-17 10:33:24,timezone not recorded,training run,completed,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6612 (95% CI: 0.6413 - 0.6866) and a Quadratic Weighted Kappa (QWK) score of 0.8271 (95% CI: 0.8072 - 0.8434).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-17_10-33-24_densenet121_focal_corn_optimized_lr.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 45),30 (Actual: 45),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6612,0.8271,not reported,0.68,0.67,0.67,0.33,0.41,0.7280,0.8984,not reported,not reported,0.6612 (95% CI: 0.6413 - 0.6866); 0.8271 (95% CI: 0.8072 - 0.8434); 0.8984 (95% CI: 0.8889 - 0.9083); 0.7280 (95% CI: 0.7063 - 0.7588),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,288 / 826 (34.87% error),243 (84.4%),4,4,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-17 16:06:42,timezone not recorded,training run,completed,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),"This run successfully trained a densenet121 model in standard 1-stage mode for 30 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6733 (95% CI: 0.6510 - 0.6963) and a Quadratic Weighted Kappa (QWK) score of 0.8394 (95% CI: 0.8203 - 0.8562).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-17_16-06-42_densenet121_focal_corn_optimized_lr_patience.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 30),30 (Actual: 30),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6733,0.8394,not reported,0.71,0.69,0.69,0.36,0.44,0.7439,0.9073,not reported,not reported,0.6733 (95% CI: 0.6510 - 0.6963); 0.8394 (95% CI: 0.8203 - 0.8562); 0.9073 (95% CI: 0.8992 - 0.9159); 0.7439 (95% CI: 0.7257 - 0.7670),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,290 / 826 (35.11% error),250 (86.2%),3,5,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-17 22:15:13,timezone not recorded,training run,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (Last Block Unfrozen + Stage 3 Sampler Disabled) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6498 (95% CI: 0.6286 - 0.6727) and a Quadratic Weighted Kappa (QWK) score of 0.7564 (95% CI: 0.7332 - 0.7767).",Do not use for model selection or production.,Documented logic error: intended backbone blocks remained frozen.,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-17_22-15-13_densenet121_focal_corn_gradual_unfreeze.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 45),30 (Actual: 45),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6498,0.7564,not reported,0.58,0.62,0.59,0.00,0.00,0.7059,0.8814,not reported,not reported,0.6498 (95% CI: 0.6286 - 0.6727); 0.7564 (95% CI: 0.7332 - 0.7767); 0.8814 (95% CI: 0.8706 - 0.8905); 0.7059 (95% CI: 0.6882 - 0.7311),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,299 / 826 (36.20% error),187 (62.5%),4,3,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-18 20:27:46,timezone not recorded,training run,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (Last Two Blocks Unfrozen + Stage 3 Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 224x224 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6534 (95% CI: 0.6322 - 0.6733) and a Quadratic Weighted Kappa (QWK) score of 0.7624 (95% CI: 0.7365 - 0.7889).",Do not use for model selection or production.,Documented logic error: intended backbone blocks remained frozen.,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-18_20-27-46_densenet121_focal_corn_moderated_sampler.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,224x224,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 224x224; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 224x224; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 45),30 (Actual: 45),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6534,0.7624,not reported,0.62,0.64,0.60,0.20,0.00,0.7124,0.8825,not reported,not reported,0.6534 (95% CI: 0.6322 - 0.6733); 0.7624 (95% CI: 0.7365 - 0.7889); 0.8825 (95% CI: 0.8724 - 0.8910); 0.7124 (95% CI: 0.6960 - 0.7356),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,297 / 826 (35.96% error),182 (61.3%),3,6,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-18 22:03:35,timezone not recorded,training run,invalid implementation; historical result only,DENSENET121 - 3-Stage Focal CORN (384x384 Resolution + Blocks 3 & 4 Unfrozen + Sampler Moderated) [LOGIC ERROR: Backbone Remained Frozen],"This run successfully trained a densenet121 model in standard 1-stage mode for 45 epochs on 384x384 images using Focal CORN loss. By enabling the class-balancing WeightedRandomSampler, minority augmentations, and double Cutout (Random Erasing), the model achieved a final test Accuracy of 0.6564 (95% CI: 0.6353 - 0.6781) and a Quadratic Weighted Kappa (QWK) score of 0.7796 (95% CI: 0.7552 - 0.8053).",Do not use for model selection or production.,Documented logic error: intended backbone blocks remained frozen.,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-18_22-03-35_densenet121_focal_corn_384_resolution_frozen.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,384x384,derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE (OpenCV implementation); resize to 384x384; ToTensor; ImageNet mean/std normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; double Random Erasing p=0.80 for regular train and p=0.90 for minority transform, scale 0.02-0.15, ratio 0.3-3.3; minority augmentation enabled",Square-pad; LAB CLAHE; resize to 384x384; ToTensor; ImageNet normalization; no stochastic augmentation,not reported,True,3-stage,30 (Actual: 45),30 (Actual: 45),not reported,16,not reported,focalcorn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=1e-3; lr_coarse_head=1e-4; lr_coarse_backbone=5e-5; lr_finetune=2e-5; lr_standard=1e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6564,0.7796,not reported,0.57,0.64,0.59,0.00,0.00,0.7297,0.8976,not reported,not reported,0.6564 (95% CI: 0.6353 - 0.6781); 0.7796 (95% CI: 0.7552 - 0.8053); 0.8976 (95% CI: 0.8871 - 0.9067); 0.7297 (95% CI: 0.7025 - 0.7533),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,279 / 826 (33.78% error),187 (67.0%),4,4,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-20 12:36:36,timezone not recorded,training run,completed,"DENSENET121 - 3-Stage CORN (400 Resize + 384 Crop, No TTA, Mild Erasing)","This run trained DenseNet-121 through all three stages for 45 epochs using Conditional Ordinal (CORN) loss. Images were resized to 400x400 and cropped to 384x384; validation and test inference used a single center crop with no TTA. Training used the class-balancing WeightedRandomSampler, no minority-specific augmentation, and one mild Random Erasing operation (p=0.10, second operation disabled). The final test Accuracy was 0.6715 (95% CI: 0.6479 - 0.6914), and QWK was 0.8246 (corrected 95% CI: 0.8046 - 0.8435).",not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-20_12-36-36_densenet121_corn.ipynb,not reported,standard classifier head; exact architecture label not reported,densenet121,"384x384 (resize to 400x400, then crop)",derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE; resize 400x400; crop 384x384; ToTensor; ImageNet normalization,"Horizontal flip p=0.50; rotation +/-8 degrees; random crop 384x384; one Random Erasing p=0.10, scale 0.02-0.05, ratio 0.5-2.0; minority augmentation disabled",Square-pad; LAB CLAHE; resize 400x400; center crop 384x384; ToTensor; ImageNet normalization; no TTA,not reported,True,3-stage,45 (5 warm-up + 25 coarse + 15 fine-tune),45 (5 warm-up + 25 coarse + 15 fine-tune),not reported,16,not reported,corn,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""",lr_warmup=3e-4; lr_coarse_head=3e-4; lr_coarse_backbone=3e-5; lr_finetune=1e-5; lr_standard=3e-4,1e-4,not reported,not reported,disabled or not reported,42,not reported,Standard Grad-CAM over three normalized scales,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6715,0.8246,not reported,0.68,0.68,0.68,0.35,0.31,0.7337,0.8963,not reported,not reported,0.6715 (95% CI: 0.6479 - 0.6914); 0.8246 (corrected 95% CI: 0.8046 - 0.8435); 0.8963 (95% CI: 0.8864 - 0.9058); 0.7337 (95% CI: 0.7106 - 0.7595),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,279 / 826 (33.78% error),230 (82.4%),4,7,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-20 17:09:20,as shown in report summary or not recorded,summary-only run,completed; provenance incomplete,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,not reported,not reported,docs/report/dense_net_121/report.md,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,0.6685,0.8223,not reported,not reported,not reported,not reported,not reported,not reported,0.7345,0.8977,not reported,not reported,0.6685 (95% CI: 0.6486 - 0.6932); 0.8223 (95% CI: 0.8017 - 0.8397); 0.8977 (95% CI: 0.8897 - 0.9089); 0.7345 (95% CI: 0.7138 - 0.7610),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,No dedicated detailed run section was found; only the report summary row is indexed.,docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
