row_id,notebook,record_type,status,model_family,architecture_detail,arm_or_config,run_directory,base_checkpoint,dataset,split_evaluated,n_eval,input_size,preprocessing,loss_function,sampler,pipeline_stages,epochs_budget,selected_epoch,batch_size,num_workers,optimizer,scheduler,learning_rates,weight_decay,seed,selection_rule,accuracy,qwk,mae,macro_precision,macro_recall,macro_f1,grade1_recall,macro_ap,macro_auc,selection_score,per_grade_f1,decision,notes
DN-EXP-01,notebooks/densenet121/experiments/2026-07-25_densenet121_laterality_augmentation_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), 1x1 class conv 1024->5 + GAP","canonical_baseline (mirror right knees, no random hflip, mild rotation)",2026-07-25_00-34-38_777810_UTC_orientation_augmentation_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation,826,384x384,SquarePad -> CLAHE 2.0 (8x8); Resize 400 -> RandomCrop 384 (train) / CenterCrop 384 (eval),Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),26,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.40*QWK + 0.20*macroF1 + 0.10*macroRecall + 0.10*G1recall + 0.15*macroAP + 0.05*macroAUC,—,0.8196,—,—,0.7078,0.6980,0.4575,—,0.8882,0.7363,—,validation control only; not evaluated on test,"Highest validation selection of the three arms, but it is the canonical (mirrored) control and the inference policy requires natural laterality, so the test split was opened only for the best non-canonical arm."
DN-EXP-02,notebooks/densenet121/experiments/2026-07-25_densenet121_laterality_augmentation_ablation.ipynb,ablation_arm,completed; DEPLOYED-LINE ANCESTOR,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), 1x1 class conv 1024->5 + GAP","natural_flip (natural laterality, RandomHorizontalFlip p=0.5, mild rotation)",2026-07-25_00-34-38_777810_UTC_orientation_augmentation_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation + test,826 val / 1656 test,384x384,SquarePad -> CLAHE 2.0 (8x8); Resize 400 -> RandomCrop 384 (train) / CenterCrop 384 (eval),Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.40*QWK + 0.20*macroF1 + 0.10*macroRecall + 0.10*G1recall + 0.15*macroAP + 0.05*macroAUC,0.6539855,0.8224187,—,0.6851509,0.6811845,0.6801236,0.4189189,—,0.8963637,0.7295151,G0 0.76 | G1 0.37 | G2 0.62 | G3 0.79 | G4 0.86,selected non-canonical arm; test evaluated once,"Validation at epoch 30: QWK 0.8053, macroF1 0.6820, G1R 0.3987, selection 0.7175. Test loss 0.7766287. Establishes natural-laterality + horizontal-flip as the orientation policy."
DN-EXP-03,notebooks/densenet121/experiments/2026-07-25_densenet121_laterality_augmentation_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), 1x1 class conv 1024->5 + GAP","natural_flip_mild_affine (natural laterality, hflip, affine 7deg/3%/0.95-1.05/3deg shear)",2026-07-25_00-34-38_777810_UTC_orientation_augmentation_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation,826,384x384,SquarePad -> CLAHE 2.0 (8x8); Resize 400 -> RandomCrop 384 (train) / CenterCrop 384 (eval),Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),27,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.40*QWK + 0.20*macroF1 + 0.10*macroRecall + 0.10*G1recall + 0.15*macroAP + 0.05*macroAUC,—,0.8011,—,—,0.6735,0.6800,0.3072,—,0.8786,0.7044,—,rejected; weakest arm,Paper-inspired affine augmentation (scaled down from the source paper's 30deg/10%/0.8-1.2/20deg) hurt Grade-1 recall badly (0.3072 vs 0.4575 canonical).
DN-EXP-04,notebooks/densenet121/experiments/2026-07-25_densenet121_natural_orientation_loss_ablation.ipynb,ablation_arm,completed; DEPLOYED-LINE ANCESTOR,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), bias-free 1x1 class conv + GAP",ce (standard five-class cross-entropy),2026-07-25_06-30-25_175448_UTC_final_noncanonical_loss_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation + test,826 val / 1656 test,384x384,"CLAHE 2.0 (8x8); full square-padded ROI resized to 384, no crop",Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),24,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,0.6503623,0.8196540,0.4009662,0.6867356,0.6803895,0.6822715,0.3952703,—,0.8935033,0.7588 (val),G0 0.76 | G1 0.36 | G2 0.61 | G3 0.79 | G4 0.89,validation winner; test evaluated once; CE adopted for production,"Validation ep24: QWK 0.8083, macroF1 0.6819, G1R 0.3856, selection 0.7588. Test loss 0.7856858, Grade-1 precision 0.3259053. KNOWN ISSUE: this arm resumed from an existing stage-2 checkpoint, so only epochs 21-30 executed in this session. Checkpoint on disk (best_model_epoch24.pth) confirms val QWK 0.8082723."
DN-EXP-05,notebooks/densenet121/experiments/2026-07-25_densenet121_natural_orientation_loss_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), bias-free 1x1 class conv + GAP","ordinal_pd2 (Chen et al. five-logit adjustable ordinal loss, normalized)",2026-07-25_06-30-25_175448_UTC_final_noncanonical_loss_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation,826,384x384,"CLAHE 2.0 (8x8); full square-padded ROI resized to 384, no crop",Ordinal PD-2,full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),29,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.6679,—,—,0.4312,0.3352,0.8824,—,0.6319,0.5207,—,rejected; severe collapse,Grade-1 recall 0.8824 is an artefact of over-predicting Grade 1: macro F1 collapsed to 0.3352 and macro AUC to 0.6319. Demonstrates why Grade-1 recall alone must not drive selection.
DN-EXP-06,notebooks/densenet121/experiments/2026-07-25_densenet121_natural_orientation_loss_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121 features_only out_indices=(4,), bias-free 1x1 class conv + GAP",ce_plus_ordinal_pd2 (CE + 0.25 * normalized PD-2),2026-07-25_06-30-25_175448_UTC_final_noncanonical_loss_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826 / test 1656),validation,826,384x384,"CLAHE 2.0 (8x8); full square-padded ROI resized to 384, no crop",CE + 0.25*Ordinal PD-2,full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8066,—,—,0.6851,0.6783,0.4314,—,0.8880,0.7567,—,"rejected; within noise of CE, no gain",Better Grade-1 recall than plain CE (0.4314 vs 0.3856) but slightly lower selection score (0.7567 vs 0.7588). CORN excluded from this comparison by design because 4 conditional logits would change the head.
DN-EXP-07,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed; confounded,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",raw_then_pad (no contrast enhancement),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,no enhancement; square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),29,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8117465,—,—,0.6868444,0.6810129,0.4444444,—,0.8899062,0.7603373,—,not selected,"Resumed from a prior interrupted state ('SKIPPING COMPLETED'), so the optimizer state was not reset. Re-tested cleanly in the confirmation notebook."
DN-EXP-08,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed; confounded,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",current_pad_then_clahe2 (deployed order: square pad then LAB CLAHE 2.0),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,square pad -> CLAHE 2.0 (8x8); resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8109745,—,—,0.6878673,0.6866649,0.4313725,—,0.8881170,0.7617973,—,not selected,Interrupted-optimizer confound as above; re-tested in the confirmation notebook.
DN-EXP-09,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed; confounded,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",clahe2_then_pad (LAB CLAHE 2.0 before padding),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 2.0 (8x8) -> square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),27,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8175507,—,—,0.6890451,0.6878950,0.4248366,—,0.8895923,0.7661338,—,not selected,Interrupted-optimizer confound as above.
DN-EXP-10,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed; PRODUCTION PREPROCESSING,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",clahe1_25_then_pad (LAB CLAHE 1.25 before padding),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 1.25 (8x8) -> square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8274009,—,—,0.7082788,0.7061268,0.5294118,—,0.8950654,0.7780713,—,winner; confirmed by the two-arm confirmation run,Best arm on every metric including Grade-1 recall 0.5294. Trained from scratch in this run (not resumed). This is the preprocessing used by the deployed models.
